# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL

L-proline biosynthesis III|PWY-3341|L-proline Biosynthesis|PROLINE-SYN|0.116772704|0.8|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3341
4-aminobutanoate degradation III|PWY-6536|4-Aminobutanoate Degradation|4-Aminobutyraye-Degradation|0.12569122|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6536
L-citrulline degradation|CITRULLINE-DEG-PWY|||0.12569122|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=CITRULLINE-DEG-PWY
beta-alanine biosynthesis II|PWY-3941|beta Alanine Biosynthesis|Beta-Alanine-Biosynthesis|0.14104629|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3941
gentisate degradation I|PWY-6223|Gentisate Degradation|Gentisate-Degradation|0.14104629|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6223
propanoyl-CoA degradation II|PWY-7574|||0.14113244|0.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7574
pentachlorophenol degradation|PCPDEG-PWY|||0.14666668|0.16666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PCPDEG-PWY
glutathione biosynthesis|GLUTATHIONESYN-PWY|||0.16098094|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUTATHIONESYN-PWY
reductive monocarboxylic acid cycle|PWY-5493|CO2 Fixation|CO2-Fixation|0.16098094|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5493
