     Enzyme Name to Reaction Mapping Report
     ======================================

 This report describes the results of using the gene product
 EC numbers, GO terms, and enzyme names in your input file(s) to assign
 enzymes to reaction activities.

 When a protein function name (i.e., one of the gene product name strings from your
 input file) matches an entry in the reference database (e.g., MetaCyc), there are two 
 possibilities:

 - It is an unambiguous match, for which the corresponding Enzymatic-Reaction
   connection has been created automatically (in all other cases,
   no connection is created, and the decision is left to the user).

 - It is an ambiguous match, meaning that more than one biochemical
   reaction has been identified using that enzyme name from the
   different sources that went into building our name mapping database.
   These cases should be examined by the user to resolve
   the ambiguities, and to create the Enzymatic-Reaction connections.

 When the function name does not match anything in the mapping database,
 the user should try to perform selected substring searches, to potentially
 find correspondences that the automatic string matching missed.
 The non-matches that appear to be probable enzymes are identified in this 
 report to aid the user in refining their input file for a subsequent run.

 Please see the PathoLogic documentation for more information on how to 
 refine your input file to achieve a higher number of matches.
 

 Summary:
 -------

Number of polypeptides assigned to reactions by EC number, enzyme name, and/or GO term: 1139
Ambiguous enzyme matches: 252

No EC#, GO Term, or Function-Name Matches: Total (polypeptides): 6063
   -probable metabolic enzymes: 497



Unambiguous reaction assignments: (1139 cases)
---------------------------------------------
EG50003-MONOMER                         Name Match     acyl carrier protein                                RXN-17155
G18UT-22615-MONOMER    SVEN_7447        Name Match     transposase                                         RXN0-5131
G18UT-22614-MONOMER    SVEN_7446        Name Match     transposase                                         RXN0-5131
G18UT-22593-MONOMER    SVEN_7425        Name Match     Beta-ketoadipate enol-lactone hydrolase             3-OXOADIPATE-ENOL-LACTONASE-RXN, RXN-10083
G18UT-22562-MONOMER    SVEN_7394        Name Match     ADP-ribose pyrophosphatase                          RXN0-1441
G18UT-22552-MONOMER    SVEN_7384        Name Match     Cysteine synthase                                   ACSERLY-RXN, RXN-12726, SULFOCYS-RXN
G18UT-22530-MONOMER    SVEN_7362        Name Match     Beta-hexosaminidase                                 3.2.1.52-RXN, RXN-12625, RXN-12626, RXN0-5226
G18UT-22526-MONOMER    SVEN_7358        Name Match     N-hydroxyarylamine O-acetyltransferase              2.3.1.118-RXN
G18UT-22524-MONOMER    SVEN_7356        Name Match     Alpha-glucosidase                                   MALTODEXGLUCOSID-RXN, RXN-14281, RXN-14282, RXN-14283, RXN-15910, RXN0-5183
G18UT-22512-MONOMER    SVEN_7344        Name Match     NAD-dependent glyceraldehyde-3-phosphate dehydrogenase  GAPOXNPHOSPHN-RXN
G18UT-22502-MONOMER    SVEN_7334        Name Match     Threonine dehydratase                               RXN-15122, THREDEHYD-RXN
G18UT-22497-MONOMER    SVEN_7329        Name Match     Tagatose 1,6-diphosphate aldolase                   TAGAALDOL-RXN
G18UT-22496-MONOMER    SVEN_7328        Name Match     Glucosamine-6-phosphate deaminase                   GLUCOSAMINE-6-P-DEAMIN-RXN
G18UT-22484-MONOMER    SVEN_7316        Name Match     Peptidyl-prolyl cis-trans isomerase                 PEPTIDYLPROLYL-ISOMERASE-RXN
G18UT-22463-MONOMER    SVEN_7295        Name Match     N-acyl-L-amino acid amidohydrolase                  AMINOACYLASE-RXN, RXN-13684
